type,title,description,country,author,link
book,The Islamic State,Translated from the Arabic edition from the Sunni political party.,,Hizb ut-Tahrir,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/IslamicState.pdf
book,Al-Qaeda from Within (Part 1),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on Saudi ""coup""against Salafi youth. Includes Part 1 through Part 3.",,Khalid al-Hamadi,/static/gtr_site/alqaedawithinpt1.pdf
book,Al-Qaeda from Within (Part 2),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on first meeting with Bin Laden and al-Qaeda beginnings. Includes Part 4 through Part 6.",,Khalid al-Hamadi,/static/gtr_site/alqaedawithinpt2.pdf
book,Al-Qai'da From Within (Part 3),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on Al-Qai'da. Includes Parts 7 through Part 10.",,Khalid al-Hamad,/static/gtr_site/alqaedawithinpt3.pdf
book,Al-Zarqawi...The Second Generation of Al-Qai'da (Parts 1-3),Includes testimonies by people who knew and accompanied Al-Zarqawi at various stages of his life.,,Fu'ad Husayn,/static/gtr_site/alzarqawi2ndgenpart1.pdf
book,"Al-Zarqawi...The Second Generation of Al-Qai'da (Parts 4-7, 9)",Includes testimonies by people who knew and accompanied Al-Zarqawi at various stages of his life.,,Fu'ad Husayn,/static/gtr_site/alzarqawi2ndgenpart2.pdf
book,Al-Zarqawi...The Second Generation of Al-Qai'da (Parts 10-15),Includes testimonies by people who knew and accompanied Al-Zarqawi at various stages of his life.,,Fu'ad Husayn,/static/gtr_site/alzarqawi2ndgenpart3.pdf
book,Authority: Shari'ah View and Realistic Vision (Parts 1-4),"The book which Al-Sharq al-Awsat newspaper publishes in parts, offers revisions on fundamentalist thinking and governing.",,Al-Jama'ah al-Islamiyah,/static/gtr_site/authoritypart1.pdf
book,Authority: Shari'ah View and Realistic Vision (Parts 5-9),"The book which Al-Sharq al-Awsat newspaper publishes in parts, offers revisions on fundamentalist thinking and governing.",,Al-Jama'ah al-Islamiyah,/static/gtr_site/authoritypart2.pdf
book,Catastrophic Terrorism: Elements of a National Policy,"This report is a product of the Catastrophic Terrorism Study Group, a nine-month long collaboration of faculty from Harvard University, the Massachusetts Institute of Technology...",,"Ashton B. Carter, John M. Deutch and Philip D. Zelikow",http://belfercenter.hks.harvard.edu/publication/2978/catastrophic_terrorism.html
book,Compilation of Usama Bin Laden Statements,A compilation of Osama Bin Laden statments from 1994 to January 2004 published by FBIS.,,Osama Bin Laden,http://www.fas.org/irp/world/para/ubl-fbis.pdf
book,Concepts of Hizb ut-Tahrir,"Translated from the Arabic edition ""Mafahim Hizb ut-Tahrir"" from the Sunni political party.",,Hizb ut-Tahrir,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/Concepts.pdf
book,Defence of Muslim Lands,"Discusses the legal ruings of jihad, different types of jihad and condition in which jihad becomes an obligation for Muslims.",,Abdullah Azzam,https://islamfuture.wordpress.com/2009/08/15/defence-of-the-muslim-lands/
book,Democracy: A Religion,This document was revised after being downloaded from al-Maqdisi's webpage and translated into English.,,Abu Muhammad 'Aasim al-Maqdisi,/static/gtr_site//DemocracyReligion.pdf
book,Dying to Win: The Strategic Logic of Suicide Terrorism,"Pape provides a groundbreaking demographic profile of modern suicide terrorist attackers and examines the early practitioners of this guerrilla tactic. Link to TRIPOD, for Tri-Co students.",,Robert A. Pape,http://tripod.brynmawr.edu/find/Record/.b3439389
book,"Education, Poverty, and Terrorism: Is There a Causal Connection?","An article examining the connection beween education, poverty and terrorism.",,Alan B. Krueger and Jitka Maleckova,http://www.nber.org/papers/w9074
book,Face to Face With Political Islam,"Burgat argues that Islam's restoration of its pre-colonization culture is not inherently at odds with democracy, tolerance, or progress. Link to Tripod for Tri-Co students.",,François Burgat,http://tripod.brynmawr.edu/find/Record/.b2668116
book,Global Political Islam,"Mandaville discusses the history of Islam and politics, the formation of Islamism as political strategy and Muslim transnationalism. Link to TRIPOD, for Tri-Co students.",,Peter Mandaville,http://tripod.brynmawr.edu/find/Record/.b3303410
book,How Terrorist Groups End: Lessons for Encountering al Qa'ida,"A major study of the success and failure of terrorist groups over time. Includes a large table of all organizations in the dataset, giving organization name, operating years, peak size...""",,Seth G. Jones and Martin C. Libicki,http://www.rand.org/pubs/monographs/MG741-1.html
