type,title,description,country,author,link
book,The Islamic State,Translated from the Arabic edition from the Sunni political party.,,Hizb ut-Tahrir,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/IslamicState.pdf
book,Al-Qaeda from Within (Part 1),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on Saudi ""coup""against Salafi youth. Includes Part 1 through Part 3.",,Khalid al-Hamadi,/static/gtr_site/alqaedawithinpt1.pdf
book,Al-Qaeda from Within (Part 2),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on first meeting with Bin Laden and al-Qaeda beginnings. Includes Part 4 through Part 6.",,Khalid al-Hamadi,/static/gtr_site/alqaedawithinpt2.pdf
book,Al-Qai'da From Within (Part 3),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on Al-Qai'da. Includes Parts 7 through Part 10.",,Khalid al-Hamad,/static/gtr_site/alqaedawithinpt3.pdf
book,The Story of the Afghan-Arabs Part Five,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/07/article55270685/the-afghan-arabs-part-five
book,The Story of the Afghan-Arabs Part Four,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/07/article55270861/the-afghan-arabs-part-four
book,The Story of the Afghan-Arabs Part One,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/06/article55270974/the-afghan-arabs-part-one
book,The al-Qaeda Franchise:The Expansion of al-Qaeda and its Consequences,Authors argues the reasons al-Qaeda utilized a branching-out strategy and examines numerous case studies. Link in Tripod for Tri-Co.,,Barak Mendelsohn,https://tripod.brynmawr.edu/find/Record/.b4376167
book,Combating Jihadism: American Hegemony and Interstate Cooperation in the War on Terrorism,Mendelsohn argues that state cooperation generated by a hegemonic state is necessary in order to fight jihad effectively. He grounds his argument in shared norms and rules.,,Barak Mendelsohn,https://tripod.brynmawr.edu/find/Record/.b3676416
book,Kalamullah,"Database of Islamic Audios, Lectures, Talks, Khutbahs, Videos, Nasheeds, Articles, Books etc.",,various,http://www.kalamullah.com/books.html
data-source,Iraq Body Count,Iraq Body Count is an ongoing human security project which maintains and updates the world’s largest public database of violent civilian deaths during and since the 2003 invasion. The count encompasses non-combatants killed by military or paramilitary act,,,http://www.iraqbodycount.org/
data-source,Sutton Index of Deaths,"The site ""contains information on the deaths that have resulted from the conflict in Ireland between 14 July 1969 and 31 December 2001. The information has been provided by Malcolm Sutton and is an updated and revised version of the material that was firs",,,http://cain.ulst.ac.uk/sutton/
data-source,Onset and Duration of Intrastate Conflict,The web page offers three datasets on intrastate conflict: A country-year file and a calendar-time file prepared for onset analysis and a calendar-time file suitable for duration analysis.,,,http://www.prio.no/CSCW/Datasets/Armed-Conflict/Onset-and-Duration-of-Intrastate-Conflict/
data-source,Acled Armed Conflict Location and Event Data,ACLED (Armed Conflict Location and Events Dataset) is designed for disaggregated conflict analysis and crisis mapping. This dataset codes the location of all reported conflict events in 50 countries in the developing world. Data are currently being coded,,,http://www.acleddata.com/
data-source,Institute for National Security Studies (Tel Aviv): Middle East Military Balance,"Data files on 21 countries surveyed. Includes ""information about the following topics: major arms sales and procurement; arms production; non-conventional capabilities; space assets; order of battle; and major weapon systems for the ground forces, air for",,,http://www.inss.org.il/weapons.php?cat=283
data-source,Foreign Policy Magazine Terrorism Index,A survey of 100 American foreign policy experts on questions of current U.S. policy. Note: Not updated since 2006. Subscription required.,,,http://web1.foreignpolicy.com/issue_julyaug_2006/TI-index/index.html
data-source,Global Governance Monitor,"The Council on Foreign Relations tracks global cooperation and recommends policy options regarding armed conflict, crime, nuclear proliferation, global finance, oceans, climate change, public health, terrorism, human rights, & the internet.",,,http://www.cfr.org/global-governance/global-governance-monitor/p18985#!/
data-source,Global Conflict Tracker,"The Council on Foreign Relations tracks global conflicts, their statuses, and their impacts on US interests.",,,http://www.cfr.org/global/global-conflict-tracker/p32137#!/
data-source,Freedom of Information Act Electronic Reading Room (CIA),The CIA's FOIA ERR houses many declassified government documents.,,,https://www.cia.gov/library/readingroom/
